C00002469|01252017|250|3|1120
C00002469|01262017|1000|1|1000
C00002469|01272017|300|1|300
C00002469|01312017|260|15|3964
C00003855|01062017|2500|1|2500
C00003855|01172017|2000|3|8500
C00003855|01182017|1000|1|1000
C00003855|01202017|250|1|250
C00003855|01242017|3250|2|6500
C00003855|01252017|1501|3|8001
C00003855|01262017|1500|3|3625
C00003855|01272017|4000|7|19250
C00003855|01302017|2250|4|10250
C00003855|01312017|1500|1|1500
C00004325|01032017|210|1|210
C00004325|01052017|1000|1|1000
C00004325|01172017|435|1|435
C00004325|01202017|387|1|387
C00004325|01232017|465|1|465
C00004325|01252017|241|1|241
C00004325|01272017|225|1|225
C00007450|01052017|1000|1|1000
C00007450|01252017|350|1|350
C00007450|01272017|218|5|1209
C00010421|01052017|500|10|10166
C00010421|01062017|354|2|708
C00010421|01092017|313|8|2750
C00010421|01102017|1000|4|5000
C00010421|01112017|500|4|2309
C00010421|01122017|800|10|16808
C00010421|01132017|500|4|2000
C00010421|01162017|208|5|1082
C00010421|01172017|750|6|6000
C00010421|01182017|229|2|458
C00010421|01242017|600|19|13850
C00010421|01252017|500|15|12151
C00010421|01302017|208|5|1834
C00010421|01312017|638|24|19030
C00010470|01312017|291|193|58325
C00010868|01032017|1000|27|22650
C00010868|01042017|400|7|3650
C00010868|01052017|1000|1|1000
C00010868|01092017|600|5|3150
C00010868|01162017|1000|1|1000
C00010868|01172017|325|2|650
C00010868|01182017|1000|3|6400
C00010868|01192017|500|6|3800
C00010868|01202017|1000|1|1000
C00010868|01232017|1000|1|1000
C00010868|01242017|1000|2|2000
C00010868|01252017|1000|2|2000
C00010868|01262017|400|2|800
C00010868|01272017|700|2|1400
C00010868|01282017|750|2|1500
C00010868|01292017|1000|1|1000
C00010868|01302017|500|5|2750
C00010868|01312017|900|2|1800
C00020818|01172017|400|1|400
C00020818|01192017|400|9|5600
C00020818|01232017|3250|2|6500
C00020818|01272017|250|1|250
C00020818|01302017|1000|3|2250
C00023838|01052017|250|1|250
C00023838|01232017|2000|1|2000
C00023838|01272017|350|1|350
C00023838|01282017|375|4|6000
C00023838|01312017|625|2|1250
C00024869|01202017|416|93|37439
C00024968|01032017|500|3|2865
C00024968|01042017|365|1|365
C00024968|01052017|300|6|3600
C00024968|01062017|2000|3|4500
C00024968|01092017|250|1|250
C00024968|01102017|500|5|3000
C00024968|01112017|500|7|6000
C00024968|01132017|300|5|3683
C00024968|01142017|375|2|750
C00024968|01152017|375|2|750
C00024968|01162017|250|1|250
C00024968|01172017|2000|1|2000
C00024968|01182017|250|2|500
C00024968|01192017|275|2|550
C00024968|01202017|250|4|830
C00024968|01222017|500|1|500
C00024968|01232017|250|2|500
C00024968|01242017|250|1|250
C00024968|01252017|365|3|1115
C00024968|01272017|250|1|250
C00024968|01282017|250|4|1166
C00024968|01312017|625|2|1250
C00028787|01032017|500|3|1300
C00028787|01102017|1000|4|4900
C00028787|01112017|500|14|7500
C00028787|01122017|500|2|1000
C00028787|01162017|400|1|400
C00028787|01172017|500|1|500
C00028787|01232017|1000|2|2000
C00028787|01242017|500|2|1000
C00028787|01272017|2500|1|2500
C00030676|01312017|416|20|8025
C00034157|01012017|416|68|23097
C00034157|01112017|268|2|535
C00034157|01142017|240|1|240
C00034157|01152017|208|10|2080
C00034157|01312017|125|21|3245
C00034355|01312017|380|3|1160
C00034785|01032017|5000|1|5000
C00034785|01092017|5000|1|5000
C00035519|01312017|384|3|1152
C00040279|01032017|300|4|1413
C00040279|01102017|240|9|2771
C00040279|01242017|192|48|9435
C00040279|01312017|233|7|1843
C00040568|01312017|384|5|1886
C00044776|01052017|450|3|1125
C00044776|01102017|250|1|250
C00044776|01112017|930|2|1860
C00044776|01172017|5000|1|5000
C00044776|01182017|275|4|1300
C00044776|01192017|150|5|3055
C00044776|01252017|238|6|1660
C00044776|01262017|405|4|2060
C00044776|01302017|270|3|796
C00046474|01312017|210|117|27921
